"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-21","Istanbul","HW007","10.81.164.37","1190.16","328.78","1587.94","861.38","27.62","3.28:1","117","Linux: 14 | Windows: 14 | VMware ESX: 61 | AIX: 28","6.1.8.SPH5"
"2026-05-21","Istanbul","HW005","10.81.164.39","1190.16","459.18","2585.84","730.98","38.58","3.26:1","112","Linux: 14 | Windows: 16 | VMware ESX: 49 | AIX: 33","6.1.8.SPH5"
"2026-05-21","Istanbul","HW004","10.81.165.96","1642.84","0","2507.96","895.24","45.51","3.25:1","38","Linux: 16 | VMware ESX: 3 | AIX: 19","6.1.6.SPH51"
"2026-05-21","Istanbul","HW002","10.81.165.68","1642.84","0","2373.4","1021.7","37.81","3.26:1","103","Linux: 17 | Windows: 4 | VMware ESX: 60 | AIX: 22","6.1.6.SPH51"
"2026-05-21","Istanbul","HW005_DE39","10.81.164.190","1690.6","373.6","1594.27","1317","22.1","3.26:1","33","Linux: 6 | Windows: 9 | VMware ESX: 8 | AIX: 10","6.1.8.SPH36"
"2026-05-21","Istanbul","HW001_AT32","10.81.165.4","1690.6","172.03","1046.74","1518.57","10.18","3.26:1","74","Linux: 12 | Windows: 11 | VMware ESX: 23 | AIX: 28","6.1.8.SPH36"
"2026-05-21","Istanbul","HW005_AT37","10.81.165.143","1690.6","151.83","822.02","1538.77","8.98","3.27:1","37","Linux: 5 | Windows: 2 | VMware ESX: 9 | AIX: 21","6.1.8.SPH36"
"2026-05-21","IBTech","HW005_IBT","10.131.9.62","164.28","0","83","148.34","9.7","2.65:1","3","VMware ESX: 3","6.1.6.SPH50"
"2026-05-21","Ankara","HW001","10.25.166.137","1642.84","0","3623.66","705.49","57.06","3.26:1","157","Linux: 17 | Windows: 13 | VMware ESX: 83 | AIX: 44","6.1.6.SPH51"
"2026-05-21","Ankara","HW005","10.25.166.213","1642.84","0","4209.71","612.75","62.7","3.26:1","105","Linux: 15 | Windows: 22 | VMware ESX: 5 | AIX: 63","6.1.6.SPH51"
"2026-05-21","Ankara","HW001_SOL5","10.25.166.128","1595.22","274.32","2293.82","1320.9","17.2","3.27:1","135","Linux: 25 | VMware ESX: 87 | AIX: 23","6.1.8.SPH36"
"2026-05-21","Ankara","HW002_SOL5","10.25.166.130","1595.22","395.44","2553.6","1199.78","24.79","3.24:1","149","Windows: 8 | Linux: 17 | VMware ESX: 90 | AIX: 34","6.1.8.SPH36"
"2026-05-21","---","TOPLAM ANKARA","","6476.12","2637.2",,"3838.92","40.72","","","",""
"2026-05-21","---","TOPLAM IBTECH","","164.28","15.94",,"148.34","9.7","","","",""
"2026-05-21","---","TOPLAM ISTANBUL","","10737.8","2854.16",,"7883.64","26.58","","","",""
"2026-05-21","===","GENEL TOPLAM","","17378.2","5507.3",,"11870.9","31.69","","","",""
